epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.824,1.15109,3.75101,1.09304,0.39059,0.39234,0.31235,0.21073,1.09565,3.04205,1.05278,0.000118738,0.000118738,0.000118738
2,452.868,1.11047,2.42496,1.07533,0.52615,0.5639,0.5371,0.36098,1.07937,2.1796,1.06562,0.000233031,0.000233031,0.000233031
3,662.003,1.08165,1.90229,1.07087,0.62443,0.62659,0.63616,0.43566,1.05259,1.76776,1.0488,0.000342611,0.000342611,0.000342611
4,871.044,1.04805,1.61254,1.06609,0.69519,0.68134,0.70946,0.49351,1.02212,1.40792,1.04348,0.000335794,0.000335794,0.000335794
5,1080.91,1.04207,1.37424,1.06035,0.75999,0.69613,0.74939,0.52041,0.9957,1.21896,1.03722,0.000328726,0.000328726,0.000328726
6,1295.97,1.01184,1.21808,1.04615,0.79007,0.72329,0.78355,0.55051,0.97288,1.09302,1.03118,0.000321657,0.000321657,0.000321657
7,1507.34,0.99956,1.13708,1.03812,0.79192,0.75422,0.80172,0.5682,0.96906,0.99431,1.02625,0.000314588,0.000314588,0.000314588
8,1716.23,0.99323,1.06287,1.04007,0.8341,0.75917,0.82961,0.59511,0.94886,0.90691,1.01801,0.00030752,0.00030752,0.00030752
9,1925.4,0.96825,1.00265,1.02852,0.84055,0.76431,0.83505,0.6002,0.95405,0.87106,1.01393,0.000300451,0.000300451,0.000300451
10,2136.83,0.9597,0.95873,1.02627,0.85636,0.77414,0.84727,0.60771,0.94417,0.82207,1.01608,0.000293383,0.000293383,0.000293383
11,2355.26,0.95993,0.92769,1.0234,0.85072,0.79484,0.85777,0.61912,0.92517,0.77293,1.00815,0.000286314,0.000286314,0.000286314
12,2576.25,0.93694,0.8829,1.01659,0.86527,0.78755,0.86406,0.62992,0.91005,0.7519,1.00415,0.000279245,0.000279245,0.000279245
13,2796.94,0.93647,0.85319,1.01061,0.88619,0.7989,0.87881,0.64456,0.90437,0.71106,0.99738,0.000272177,0.000272177,0.000272177
